;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Exchange Rates selected indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;United States;United States;United States;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Source: International Financial Statistics (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Metadata by Country (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Indicator;;;Scale;2010Q1;2010Q2;2010Q3;2010Q4;2011Q1;2011Q2;2011Q3;2011Q4;2012Q1;2012Q2;2012Q3;2012Q4;2013Q1;2013Q2;2013Q3;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;;;;;;;;;;;;;;;;;;;;;
;National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;1,52;1,48;1,56;1,54;1,59;1,60;1,56;1,54;1,55;1,52;1,54;1,54;1,50;1,50;1,53;1,54;1,55;1,55;1,48;1,45;1,38;1,41;1,40;1,39;1,41;1,40;1,40;1,34;1,36;1,39;1,41;1,42;1,45;1,41;1,40;1,39;1,39;1,39;1,36;1,38;;;;;;;;;;;;;;;;;;;;;
;National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;1,54;1,49;1,52;1,56;1,56;1,60;1,59;1,56;1,54;1,53;1,52;1,54;1,52;1,51;1,52;1,54;1,54;1,55;1,52;1,47;1,41;1,40;1,40;1,39;1,39;1,41;1,40;1,36;1,35;1,37;1,41;1,41;1,45;1,43;1,40;1,39;1,39;1,38;1,37;1,38;;;;;;;;;;;;;;;;;;;;;
;Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;;;;;;;;;;;;;;;;;;;;;
